"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3663 (1063996) [Titan Krios G2]","3663 (1063996) [Titan Krios G2]"
"06/25/2021","16:53:54.030","80742.017",""
"06/25/2021","16:57:18.370","3638.589",""
"06/25/2021","16:57:32.324","80742.017",""
"06/25/2021","17:01:14.976","3638.589",""
"06/25/2021","17:01:28.768","80742.017",""
"06/25/2021","17:04:52.430","3638.589",""
"06/25/2021","17:05:06.713","80742.017",""
"06/25/2021","17:08:31.492","2259.761",""
"06/25/2021","17:09:20.169","3638.589",""
"06/25/2021","17:09:57.188","2259.761",""
"06/25/2021","17:10:11.417","3638.589",""
"06/25/2021","17:10:24.432","80742.017",""
"06/25/2021","17:13:58.468","3638.589",""
"06/25/2021","17:14:25.322","80742.017",""
"06/25/2021","17:17:39.201","3638.589",""
"06/25/2021","17:17:52.997","80742.017",""
"06/25/2021","17:20:47.121","3638.589",""
"06/25/2021","17:21:01.455","80742.017",""
"06/25/2021","17:24:29.310","2259.761",""
"06/25/2021","17:25:17.692","3638.589",""
"06/25/2021","17:25:47.292","2259.761",""
"06/25/2021","17:26:05.205","3638.589",""
"06/25/2021","17:26:18.227","80742.017",""
"06/25/2021","17:28:43.864","3638.589",""
"06/25/2021","17:28:58.165","80742.017",""
"06/25/2021","17:32:31.946","3638.589",""
"06/25/2021","17:32:45.791","80742.017",""
"06/25/2021","17:35:58.703","3638.589",""
"06/25/2021","17:36:21.021","80742.017",""
"06/25/2021","17:37:44.119","3638.589",""
"06/25/2021","17:37:56.821","80742.017",""
"06/25/2021","17:41:21.224","2259.761",""
"06/25/2021","17:42:11.308","3638.589",""
"06/25/2021","17:42:50.704","2259.761",""
"06/25/2021","17:43:01.983","3638.589",""
"06/25/2021","17:43:18.349","80742.017",""
"06/25/2021","17:46:51.013","3638.589",""
"06/25/2021","17:47:05.092","80742.017",""
"06/25/2021","17:50:17.043","3638.589",""
"06/25/2021","17:50:30.816","80742.017",""
"06/25/2021","17:53:43.516","3638.589",""
"06/25/2021","17:53:57.787","80742.017",""
"06/25/2021","17:57:35.734","2259.761",""
"06/25/2021","17:58:21.473","3638.589",""
"06/25/2021","17:58:54.493","2259.761",""
"06/25/2021","17:59:08.522","3638.589",""
"06/25/2021","17:59:25.049","80742.017",""
"06/25/2021","18:01:38.689","3638.589",""
"06/25/2021","18:01:52.565","80742.017",""
"06/25/2021","18:04:54.933","3638.589",""
"06/25/2021","18:05:08.884","80742.017",""
"06/25/2021","18:09:21.008","3638.589",""
"06/25/2021","18:09:35.321","80742.017",""
"06/25/2021","18:13:12.439","2259.761",""
"06/25/2021","18:13:58.910","3638.589",""
"06/25/2021","18:14:34.747","2259.761",""
"06/25/2021","18:14:49.646","3638.589",""
"06/25/2021","18:15:06.051","80742.017",""
"06/25/2021","18:18:37.949","3638.589",""
"06/25/2021","18:18:51.954","80742.017",""
"06/25/2021","18:22:14.322","3638.589",""
"06/25/2021","18:22:28.057","80742.017",""
"06/25/2021","18:25:31.177","3638.589",""
"06/25/2021","18:25:57.545","80742.017",""
"06/25/2021","18:29:14.097","2259.761",""
"06/25/2021","18:30:05.095","3638.589",""
"06/25/2021","18:30:40.673","2259.761",""
"06/25/2021","18:30:55.604","3638.589",""
"06/25/2021","18:31:08.557","80742.017",""
"06/25/2021","18:34:42.070","3638.589",""
"06/25/2021","18:34:56.237","80742.017",""
"06/25/2021","18:37:40.284","3638.589",""
"06/25/2021","18:38:01.781","80742.017",""
"06/25/2021","18:39:26.867","3638.589",""
"06/25/2021","18:39:39.367","80742.017",""
"06/25/2021","18:42:43.140","2259.761",""
"06/25/2021","18:42:58.946","3638.589",""
"06/25/2021","18:43:16.122","80742.017",""
"06/25/2021","18:46:09.963","2259.761",""
"06/25/2021","18:46:58.980","3638.589",""
"06/25/2021","18:47:35.043","2259.761",""
"06/25/2021","18:47:53.486","3638.589",""
"06/25/2021","18:48:06.373","80742.017",""
"06/25/2021","18:51:27.998","3638.589",""
"06/25/2021","18:51:41.950","80742.017",""
"06/25/2021","18:54:14.988","3638.589",""
"06/25/2021","18:54:28.624","80742.017",""
"06/25/2021","18:57:20.932","3638.589",""
"06/25/2021","18:57:35.054","80742.017",""
"06/25/2021","19:00:53.064","2259.761",""
"06/25/2021","19:01:39.242","3638.589",""
"06/25/2021","19:02:13.014","2259.761",""
"06/25/2021","19:02:31.444","3638.589",""
"06/25/2021","19:02:44.509","80742.017",""
"06/25/2021","19:06:08.279","3638.589",""
"06/25/2021","19:06:22.401","80742.017",""
"06/25/2021","19:08:36.572","3638.589",""
"06/25/2021","19:08:50.571","80742.017",""
"06/25/2021","19:10:26.423","3638.589",""
"06/25/2021","19:10:40.793","80742.017",""
"06/25/2021","19:13:54.148","2259.761",""
"06/25/2021","19:14:48.415","3638.589",""
"06/25/2021","19:15:21.095","2259.761",""
"06/25/2021","19:15:38.892","3638.589",""
"06/25/2021","19:15:51.875","80742.017",""
"06/25/2021","19:19:24.650","3638.589",""
"06/25/2021","19:19:38.652","80742.017",""
"06/25/2021","19:22:51.018","3638.589",""
"06/25/2021","19:23:04.775","80742.017",""
"06/25/2021","19:26:38.664","3638.589",""
"06/25/2021","19:26:52.714","80742.017",""
"06/25/2021","19:29:50.000","2259.761",""
"06/25/2021","19:30:35.634","3638.589",""
"06/25/2021","19:31:12.049","2259.761",""
"06/25/2021","19:31:30.618","3638.589",""
"06/25/2021","19:31:43.636","80742.017",""
"06/25/2021","19:35:05.923","3638.589",""
"06/25/2021","19:35:19.872","80742.017",""
"06/25/2021","19:38:52.907","3638.589",""
"06/25/2021","19:39:15.013","80742.017",""
"06/25/2021","19:40:38.222","3638.589",""
"06/25/2021","19:40:50.870","80742.017",""
"06/25/2021","19:44:17.810","2259.761",""
"06/25/2021","19:44:33.594","3638.589",""
"06/25/2021","19:44:47.088","80742.017",""
"06/25/2021","19:47:09.919","2259.761",""
"06/25/2021","19:47:59.985","3638.589",""
"06/25/2021","19:48:39.838","2259.761",""
"06/25/2021","19:48:51.091","3638.589",""
"06/25/2021","19:49:07.619","80742.017",""
"06/25/2021","19:52:30.135","3638.589",""
"06/25/2021","19:52:44.148","80742.017",""
"06/25/2021","19:55:07.770","3638.589",""
"06/25/2021","19:55:21.509","80742.017",""
"06/25/2021","19:58:34.104","3638.589",""
"06/25/2021","19:58:48.181","80742.017",""
"06/25/2021","20:01:12.216","2259.761",""
"06/25/2021","20:02:01.704","3638.589",""
"06/25/2021","20:02:34.165","2259.761",""
"06/25/2021","20:02:48.413","3638.589",""
"06/25/2021","20:03:04.758","80742.017",""
"06/25/2021","20:06:38.443","3638.589",""
"06/25/2021","20:06:52.440","80742.017",""
"06/25/2021","20:09:36.269","3638.589",""
"06/25/2021","20:09:50.205","80742.017",""
"06/25/2021","20:13:23.689","3638.589",""
"06/25/2021","20:13:37.722","80742.017",""
"06/25/2021","20:16:25.328","2259.761",""
"06/25/2021","20:17:11.503","3638.589",""
"06/25/2021","20:17:48.321","2259.761",""
"06/25/2021","20:18:06.711","3638.589",""
"06/25/2021","20:18:32.952","80742.017",""
"06/25/2021","20:22:06.325","3638.589",""
"06/25/2021","20:22:20.345","80742.017",""
"06/25/2021","20:24:45.227","3638.589",""
"06/25/2021","20:24:58.989","80742.017",""
"06/25/2021","20:28:29.974","3638.589",""
"06/25/2021","20:28:44.066","80742.017",""
"06/25/2021","20:31:11.533","2259.761",""
"06/25/2021","20:32:03.020","3638.589",""
"06/25/2021","20:32:35.532","2259.761",""
"06/25/2021","20:32:49.850","3638.589",""
"06/25/2021","20:33:06.346","80742.017",""
"06/25/2021","20:36:28.034","3638.589",""
"06/25/2021","20:36:41.938","80742.017",""
"06/25/2021","20:38:36.784","3638.589",""
"06/25/2021","20:38:50.496","80742.017",""
"06/25/2021","20:41:06.404","3638.589",""
"06/25/2021","20:41:18.891","80742.017",""
"06/25/2021","20:44:25.336","2259.761",""
"06/25/2021","20:44:37.521","3638.589",""
"06/25/2021","20:44:54.351","80742.017",""
"06/25/2021","20:48:30.529","2259.761",""
"06/25/2021","20:49:19.506","3638.589",""
"06/25/2021","20:49:50.146","2259.761",""
"06/25/2021","20:50:08.532","3638.589",""
"06/25/2021","20:50:21.585","80742.017",""
"06/25/2021","20:53:46.186","3638.589",""
"06/25/2021","20:54:00.198","80742.017",""
"06/25/2021","20:57:32.956","3638.589",""
"06/25/2021","20:57:46.755","80742.017",""
"06/25/2021","21:01:08.919","3638.589",""
"06/25/2021","21:01:23.342","80742.017",""
"06/25/2021","21:04:37.478","2259.761",""
"06/25/2021","21:05:26.323","3638.589",""
"06/25/2021","21:06:03.793","2259.761",""
"06/25/2021","21:06:15.024","3638.589",""
"06/25/2021","21:06:31.552","80742.017",""
"06/25/2021","21:09:54.641","3638.589",""
"06/25/2021","21:10:08.578","80742.017",""
"06/25/2021","21:13:41.160","3638.589",""
"06/25/2021","21:13:55.019","80742.017",""
"06/25/2021","21:17:19.516","3638.589",""
"06/25/2021","21:17:33.653","80742.017",""
"06/25/2021","21:21:06.747","2259.761",""
"06/25/2021","21:21:57.400","3638.589",""
"06/25/2021","21:22:37.031","2259.761",""
"06/25/2021","21:22:48.256","3638.589",""
"06/25/2021","21:23:04.552","80742.017",""
"06/25/2021","21:26:37.114","3638.589",""
"06/25/2021","21:26:51.281","80742.017",""
"06/25/2021","21:29:25.365","3638.589",""
"06/25/2021","21:29:39.094","80742.017",""
"06/25/2021","21:31:52.982","3638.589",""
"06/25/2021","21:32:07.099","80742.017",""
"06/25/2021","21:35:39.143","2259.761",""
"06/25/2021","21:36:28.904","3638.589",""
"06/25/2021","21:37:09.071","2259.761",""
"06/25/2021","21:37:23.570","3638.589",""
"06/25/2021","21:37:36.462","80742.017",""
"06/25/2021","21:41:08.684","3638.589",""
"06/25/2021","21:41:30.178","80742.017",""
"06/25/2021","21:42:54.475","3638.589",""
"06/25/2021","21:43:07.211","80742.017",""
"06/25/2021","21:45:52.044","2259.761",""
"06/25/2021","21:46:10.919","3638.589",""
"06/25/2021","21:46:24.100","80742.017",""
"06/25/2021","21:49:17.369","3638.589",""
"06/25/2021","21:56:43.035","80742.017",""
"06/25/2021","22:00:21.500","2259.761",""
"06/25/2021","22:01:08.452","3638.589",""
"06/25/2021","22:01:48.475","2259.761",""
"06/25/2021","22:02:03.306","3638.589",""
"06/25/2021","22:02:30.343","80742.017",""
"06/25/2021","22:06:03.309","3638.589",""
"06/25/2021","22:06:17.445","80742.017",""
"06/25/2021","22:09:09.974","3638.589",""
"06/25/2021","22:09:23.681","80742.017",""
"06/25/2021","22:12:36.205","3638.589",""
"06/25/2021","22:12:50.366","80742.017",""
"06/25/2021","22:14:44.987","2259.761",""
"06/25/2021","22:15:38.028","3638.589",""
"06/25/2021","22:16:14.223","2259.761",""
"06/25/2021","22:16:25.505","3638.589",""
"06/25/2021","22:18:53.575","80742.017",""
"06/25/2021","22:22:16.463","3638.589",""
"06/25/2021","22:22:30.651","80742.017",""
"06/25/2021","22:25:15.916","3638.589",""
"06/25/2021","22:25:29.588","80742.017",""
"06/25/2021","22:28:33.755","3638.589",""
"06/25/2021","22:28:47.909","80742.017",""
"06/25/2021","22:31:35.847","2259.761",""
"06/25/2021","22:32:18.779","3638.589",""
"06/25/2021","22:32:58.782","2259.761",""
"06/25/2021","22:33:09.313","3638.589",""
"06/25/2021","22:33:25.817","80742.017",""
"06/25/2021","22:37:10.442","3638.589",""
"06/25/2021","22:37:24.454","80742.017",""
"06/25/2021","22:40:08.595","3638.589",""
"06/25/2021","22:40:22.438","80742.017",""
"06/25/2021","22:43:44.451","3638.589",""
"06/25/2021","22:44:05.930","80742.017",""
"06/25/2021","22:45:32.630","3638.589",""
"06/25/2021","22:45:45.228","80742.017",""
"06/25/2021","22:48:10.147","2259.761",""
"06/25/2021","22:49:03.015","3638.589",""
"06/25/2021","22:49:39.934","2259.761",""
"06/25/2021","22:49:54.687","3638.589",""
"06/25/2021","22:50:07.461","80742.017",""
"06/25/2021","22:53:33.684","3638.589",""
"06/25/2021","22:53:47.880","80742.017",""
"06/25/2021","22:55:32.785","3638.589",""
"06/25/2021","22:55:46.642","80742.017",""
"06/25/2021","22:59:10.210","3638.589",""
"06/25/2021","22:59:24.547","80742.017",""
"06/25/2021","23:00:53.799","2259.761",""
"06/25/2021","23:01:42.785","3638.589",""
"06/25/2021","23:02:15.436","2259.761",""
"06/25/2021","23:02:30.389","3638.589",""
"06/25/2021","23:02:48.241","80742.017",""
"06/25/2021","23:06:13.820","3638.589",""
"06/25/2021","23:06:27.852","80742.017",""
"06/25/2021","23:08:52.048","3638.589",""
"06/25/2021","23:09:05.919","80742.017",""
"06/25/2021","23:12:29.287","3638.589",""
"06/25/2021","23:12:43.603","80742.017",""
"06/25/2021","23:15:35.435","2259.761",""
"06/25/2021","23:16:21.161","3638.589",""
"06/25/2021","23:17:00.366","2259.761",""
"06/25/2021","23:17:11.015","3638.589",""
"06/25/2021","23:17:39.905","80742.017",""
"06/25/2021","23:21:12.528","3638.589",""
"06/25/2021","23:21:26.522","80742.017",""
"06/25/2021","23:24:02.509","3638.589",""
"06/25/2021","23:24:16.420","80742.017",""
"06/25/2021","23:27:40.284","3638.589",""
"06/25/2021","23:27:54.600","80742.017",""
"06/25/2021","23:30:33.067","2259.761",""
"06/25/2021","23:31:19.041","3638.589",""
"06/25/2021","23:31:56.021","2259.761",""
"06/25/2021","23:32:14.467","3638.589",""
"06/25/2021","23:32:27.354","80742.017",""
"06/25/2021","23:34:51.127","3638.589",""
"06/25/2021","23:35:05.202","80742.017",""
"06/25/2021","23:37:50.023","3638.589",""
"06/25/2021","23:38:04.216","80742.017",""
"06/25/2021","23:40:49.250","3638.589",""
"06/25/2021","23:41:03.319","80742.017",""
"06/25/2021","23:44:01.131","2259.761",""
"06/25/2021","23:44:50.462","3638.589",""
"06/25/2021","23:45:26.785","2259.761",""
"06/25/2021","23:45:41.091","3638.589",""
"06/25/2021","23:46:00.870","80742.017",""
"06/25/2021","23:47:32.592","3638.589",""
"06/25/2021","23:47:45.507","80742.017",""
"06/25/2021","23:51:12.657","2259.761",""
"06/25/2021","23:51:28.397","3638.589",""
"06/25/2021","23:51:45.626","80742.017",""
"06/25/2021","23:54:53.515","3638.589",""
"06/25/2021","23:55:07.396","80742.017",""
"06/25/2021","23:58:44.670","3638.589",""
"06/25/2021","23:58:58.818","80742.017",""
"06/26/2021","00:02:08.377","2259.761",""
"06/26/2021","00:02:54.494","3638.589",""
"06/26/2021","00:03:30.855","2259.761",""
"06/26/2021","00:03:45.702","3638.589",""
"06/26/2021","00:04:02.470","80742.017",""
"06/26/2021","00:07:35.140","3638.589",""
"06/26/2021","00:07:49.081","80742.017",""
"06/26/2021","00:10:04.807","3638.589",""
"06/26/2021","00:10:18.606","80742.017",""
"06/26/2021","00:13:21.489","3638.589",""
"06/26/2021","00:13:35.441","80742.017",""
"06/26/2021","00:16:09.477","2259.761",""
"06/26/2021","00:17:01.154","3638.589",""
"06/26/2021","00:17:37.608","2259.761",""
"06/26/2021","00:17:51.872","3638.589",""
"06/26/2021","00:18:04.797","80742.017",""
"06/26/2021","00:21:37.721","3638.589",""
"06/26/2021","00:21:51.706","80742.017",""
"06/26/2021","00:25:34.431","3638.589",""
"06/26/2021","00:25:48.350","80742.017",""
"06/26/2021","00:29:23.122","3638.589",""
"06/26/2021","00:29:37.236","80742.017",""
"06/26/2021","00:32:51.717","2259.761",""
"06/26/2021","00:33:43.790","3638.589",""
"06/26/2021","00:34:16.671","2259.761",""
"06/26/2021","00:34:31.553","3638.589",""
"06/26/2021","00:34:44.429","80742.017",""
"06/26/2021","00:36:58.654","3638.589",""
"06/26/2021","00:37:25.044","80742.017",""
"06/26/2021","00:40:38.171","3638.589",""
"06/26/2021","00:40:52.003","80742.017",""
"06/26/2021","00:44:23.996","3638.589",""
"06/26/2021","00:44:38.193","80742.017",""
"06/26/2021","00:47:06.069","2259.761",""
"06/26/2021","00:47:52.278","3638.589",""
"06/26/2021","00:48:32.197","2259.761",""
"06/26/2021","00:48:43.417","3638.589",""
"06/26/2021","00:49:07.152","80742.017",""
"06/26/2021","00:50:33.990","3638.589",""
"06/26/2021","00:50:46.609","80742.017",""
"06/26/2021","00:54:21.754","2259.761",""
"06/26/2021","00:54:37.523","3638.589",""
"06/26/2021","00:54:54.312","80742.017",""
"06/26/2021","00:58:18.109","3638.589",""
"06/26/2021","00:58:31.999","80742.017",""
"06/26/2021","01:02:07.111","3638.589",""
"06/26/2021","01:02:21.217","80742.017",""
"06/26/2021","01:05:47.258","2259.761",""
"06/26/2021","01:06:36.312","3638.589",""
"06/26/2021","01:07:12.536","2259.761",""
"06/26/2021","01:07:23.654","3638.589",""
"06/26/2021","01:07:40.067","80742.017",""
"06/26/2021","01:11:23.277","3638.589",""
"06/26/2021","01:11:37.268","80742.017",""
"06/26/2021","01:14:31.595","3638.589",""
"06/26/2021","01:14:45.421","80742.017",""
"06/26/2021","01:18:18.665","3638.589",""
"06/26/2021","01:18:32.653","80742.017",""
"06/26/2021","01:21:15.421","2259.761",""
"06/26/2021","01:22:04.476","3638.589",""
"06/26/2021","01:22:44.471","2259.761",""
"06/26/2021","01:22:55.586","3638.589",""
"06/26/2021","01:23:12.410","80742.017",""
"06/26/2021","01:26:36.149","3638.589",""
"06/26/2021","01:26:50.196","80742.017",""
"06/26/2021","01:30:14.120","3638.589",""
"06/26/2021","01:30:27.883","80742.017",""
"06/26/2021","01:34:10.952","3638.589",""
"06/26/2021","01:34:25.112","80742.017",""
"06/26/2021","01:37:38.251","2259.761",""
"06/26/2021","01:38:26.769","3638.589",""
"06/26/2021","01:39:07.104","2259.761",""
"06/26/2021","01:39:18.338","3638.589",""
"06/26/2021","01:39:47.844","80742.017",""
"06/26/2021","01:43:11.477","3638.589",""
"06/26/2021","01:43:25.573","80742.017",""
"06/26/2021","01:46:49.725","3638.589",""
"06/26/2021","01:47:03.464","80742.017",""
"06/26/2021","01:50:36.873","3638.589",""
"06/26/2021","01:50:58.809","80742.017",""
"06/26/2021","01:52:24.526","3638.589",""
"06/26/2021","01:52:37.144","80742.017",""
"06/26/2021","01:55:53.941","2259.761",""
"06/26/2021","01:56:41.368","3638.589",""
"06/26/2021","01:57:20.518","2259.761",""
"06/26/2021","01:57:31.637","3638.589",""
"06/26/2021","01:57:48.016","80742.017",""
"06/26/2021","02:01:22.223","3638.589",""
"06/26/2021","02:01:36.363","80742.017",""
"06/26/2021","02:05:10.102","3638.589",""
"06/26/2021","02:05:23.771","80742.017",""
"06/26/2021","02:08:58.686","3638.589",""
"06/26/2021","02:09:12.857","80742.017",""
"06/26/2021","02:12:49.183","2259.761",""
"06/26/2021","02:13:33.494","3638.589",""
"06/26/2021","02:14:06.863","2259.761",""
"06/26/2021","02:14:21.951","3638.589",""
"06/26/2021","02:14:34.831","80742.017",""
"06/26/2021","02:18:08.519","3638.589",""
"06/26/2021","02:18:22.403","80742.017",""
"06/26/2021","02:21:35.366","3638.589",""
"06/26/2021","02:21:49.116","80742.017",""
"06/26/2021","02:24:03.822","3638.589",""
"06/26/2021","02:24:19.059","80742.017",""
"06/26/2021","02:28:03.789","2259.761",""
"06/26/2021","02:28:57.130","3638.589",""
"06/26/2021","02:29:30.370","2259.761",""
"06/26/2021","02:29:48.844","3638.589",""
"06/26/2021","02:30:01.678","80742.017",""
"06/26/2021","02:33:34.675","3638.589",""
"06/26/2021","02:33:48.836","80742.017",""
"06/26/2021","02:36:52.687","3638.589",""
"06/26/2021","02:37:06.595","80742.017",""
"06/26/2021","02:40:41.636","3638.589",""
"06/26/2021","02:40:55.734","80742.017",""
"06/26/2021","02:44:13.608","2259.761",""
"06/26/2021","02:45:03.620","3638.589",""
"06/26/2021","02:45:40.815","2259.761",""
"06/26/2021","02:45:55.570","3638.589",""
"06/26/2021","02:46:08.563","80742.017",""
"06/26/2021","02:49:42.658","3638.589",""
"06/26/2021","02:49:56.808","80742.017",""
"06/26/2021","02:53:19.705","3638.589",""
"06/26/2021","02:53:40.404","80742.017",""
"06/26/2021","02:55:08.141","3638.589",""
"06/26/2021","02:55:20.844","80742.017",""
"06/26/2021","02:58:55.094","2259.761",""
"06/26/2021","02:59:10.955","3638.589",""
"06/26/2021","02:59:28.141","80742.017",""
"06/26/2021","03:01:55.318","2259.761",""
"06/26/2021","03:02:44.409","3638.589",""
"06/26/2021","03:03:13.894","2259.761",""
"06/26/2021","03:03:28.721","3638.589",""
"06/26/2021","03:03:45.287","80742.017",""
"06/26/2021","03:07:18.475","3638.589",""
"06/26/2021","03:07:32.491","80742.017",""
"06/26/2021","03:11:05.586","3638.589",""
"06/26/2021","03:11:19.244","80742.017",""
"06/26/2021","03:15:03.797","3638.589",""
"06/26/2021","03:15:18.164","80742.017",""
"06/26/2021","03:18:40.899","2259.761",""
"06/26/2021","03:19:34.036","3638.589",""
"06/26/2021","03:20:07.248","2259.761",""
"06/26/2021","03:20:18.396","3638.589",""
"06/26/2021","03:20:34.913","80742.017",""
"06/26/2021","03:23:58.657","3638.589",""
"06/26/2021","03:24:12.747","80742.017",""
"06/26/2021","03:27:35.749","3638.589",""
"06/26/2021","03:27:49.542","80742.017",""
"06/26/2021","03:31:13.812","3638.589",""
"06/26/2021","03:31:41.744","80742.017",""
"06/26/2021","03:34:35.723","2259.761",""
"06/26/2021","03:35:29.308","3638.589",""
"06/26/2021","03:35:59.740","2259.761",""
"06/26/2021","03:36:10.872","3638.589",""
"06/26/2021","03:36:27.543","80742.017",""
"06/26/2021","03:39:50.685","3638.589",""
"06/26/2021","03:40:04.703","80742.017",""
"06/26/2021","03:43:08.269","3638.589",""
"06/26/2021","03:43:22.231","80742.017",""
"06/26/2021","03:46:25.726","3638.589",""
"06/26/2021","03:46:39.864","80742.017",""
"06/26/2021","03:49:53.652","2259.761",""
"06/26/2021","03:50:42.718","3638.589",""
"06/26/2021","03:51:19.859","2259.761",""
"06/26/2021","03:51:34.612","3638.589",""
"06/26/2021","03:51:47.540","80742.017",""
"06/26/2021","03:55:30.507","3638.589",""
"06/26/2021","03:55:51.426","80742.017",""
"06/26/2021","03:57:20.584","3638.589",""
"06/26/2021","03:57:33.150","80742.017",""
"06/26/2021","04:01:07.625","2259.761",""
"06/26/2021","04:01:26.560","3638.589",""
"06/26/2021","04:01:39.614","80742.017",""
"06/26/2021","04:05:02.424","3638.589",""
"06/26/2021","04:05:16.514","80742.017",""
"06/26/2021","04:08:33.136","2259.761",""
"06/26/2021","04:09:30.160","3638.589",""
"06/26/2021","04:10:05.675","2259.761",""
"06/26/2021","04:10:20.477","3638.589",""
"06/26/2021","04:10:33.289","80742.017",""
"06/26/2021","04:13:57.893","3638.589",""
"06/26/2021","04:14:11.820","80742.017",""
"06/26/2021","04:17:26.453","3638.589",""
"06/26/2021","04:17:40.439","80742.017",""
"06/26/2021","04:20:53.612","3638.589",""
"06/26/2021","04:23:19.069","80742.017",""
"06/26/2021","04:26:01.105","","Open (2)"
"06/26/2021","04:26:52.642","2259.761",""
"06/26/2021","04:27:43.226","3638.589",""
"06/26/2021","04:28:19.894","2259.761",""
"06/26/2021","04:28:31.069","3638.589",""
"06/26/2021","04:28:47.409","80742.017",""
"06/26/2021","04:32:01.199","3638.589",""
"06/26/2021","04:32:28.230","80742.017",""
"06/26/2021","04:35:31.960","3638.589",""
"06/26/2021","04:35:45.735","80742.017",""
"06/26/2021","04:37:40.297","3638.589",""
"06/26/2021","04:37:54.428","80742.017",""
"06/26/2021","04:41:07.709","2259.761",""
"06/26/2021","04:41:57.811","3638.589",""
"06/26/2021","04:42:33.556","2259.761",""
"06/26/2021","04:42:52.056","3638.589",""
"06/26/2021","04:43:05.200","80742.017",""
"06/26/2021","04:46:27.590","3638.589",""
"06/26/2021","04:46:41.531","80742.017",""
"06/26/2021","04:48:44.973","3638.589",""
"06/26/2021","04:48:58.886","80742.017",""
"06/26/2021","04:51:23.783","3638.589",""
"06/26/2021","04:51:38.066","80742.017",""
"06/26/2021","04:53:45.699","2259.761",""
"06/26/2021","04:54:31.214","3638.589",""
"06/26/2021","04:55:08.372","2259.761",""
"06/26/2021","04:55:19.628","3638.589",""
"06/26/2021","04:55:37.610","80742.017",""
"06/26/2021","04:58:05.166","3638.589",""
"06/26/2021","04:58:18.000","80742.017",""
"06/26/2021","05:00:50.768","2259.761",""
"06/26/2021","05:01:10.214","3638.589",""
"06/26/2021","05:01:23.530","80742.017",""
"06/26/2021","05:03:56.830","3638.589",""
"06/26/2021","05:04:10.575","80742.017",""
"06/26/2021","05:06:34.384","3638.589",""
"06/26/2021","05:06:48.465","80742.017",""
"06/26/2021","05:10:15.305","2259.761",""
"06/26/2021","05:11:06.188","3638.589",""
"06/26/2021","05:11:41.940","2259.761",""
"06/26/2021","05:11:56.867","3638.589",""
"06/26/2021","05:12:09.952","80742.017",""
"06/26/2021","05:15:52.013","3638.589",""
"06/26/2021","05:16:05.988","80742.017",""
"06/26/2021","05:19:10.786","3638.589",""
"06/26/2021","05:19:24.608","80742.017",""
"06/26/2021","05:22:48.651","3638.589",""
"06/26/2021","05:23:02.821","80742.017",""
"06/26/2021","05:26:07.133","2259.761",""
"06/26/2021","05:26:55.405","3638.589",""
"06/26/2021","05:27:31.228","2259.761",""
"06/26/2021","05:27:45.480","3638.589",""
"06/26/2021","05:28:01.942","80742.017",""
"06/26/2021","05:29:46.767","3638.589",""
"06/26/2021","05:30:00.773","80742.017",""
"06/26/2021","05:33:34.727","3638.589",""
"06/26/2021","05:40:59.029","80742.017",""
"06/26/2021","05:44:26.000","3638.589",""
"06/26/2021","05:44:40.237","80742.017",""
"06/26/2021","05:48:17.968","2259.761",""
"06/26/2021","05:49:10.005","3638.589",""
"06/26/2021","05:49:42.780","2259.761",""
"06/26/2021","05:49:57.470","3638.589",""
"06/26/2021","05:50:13.910","80742.017",""
"06/26/2021","05:53:35.638","3638.589",""
"06/26/2021","05:53:49.670","80742.017",""
"06/26/2021","05:56:13.844","3638.589",""
"06/26/2021","05:56:27.751","80742.017",""
"06/26/2021","05:59:02.085","3638.589",""
"06/26/2021","05:59:12.849","80742.017",""
"06/26/2021","06:02:08.927","2259.761",""
"06/26/2021","06:02:24.800","3638.589",""
"06/26/2021","06:02:38.586","80742.017",""
"06/26/2021","06:06:24.583","2259.761",""
"06/26/2021","06:07:10.464","3638.589",""
"06/26/2021","06:07:43.544","2259.761",""
"06/26/2021","06:08:01.959","3638.589",""
"06/26/2021","06:08:14.756","80742.017",""
"06/26/2021","06:11:38.646","3638.589",""
"06/26/2021","06:12:06.148","80742.017",""
"06/26/2021","06:15:28.763","3638.589",""
"06/26/2021","06:15:42.495","80742.017",""
"06/26/2021","06:19:05.718","3638.589",""
"06/26/2021","06:19:19.937","80742.017",""
"06/26/2021","06:22:34.450","2259.761",""
"06/26/2021","06:23:26.624","3638.589",""
"06/26/2021","06:24:03.510","2259.761",""
"06/26/2021","06:24:14.700","3638.589",""
"06/26/2021","06:24:31.296","80742.017",""
"06/26/2021","06:27:44.827","3638.589",""
"06/26/2021","06:27:59.004","80742.017",""
"06/26/2021","06:30:03.612","3638.589",""
"06/26/2021","06:30:17.571","80742.017",""
"06/26/2021","06:34:01.544","3638.589",""
"06/26/2021","06:34:15.633","80742.017",""
"06/26/2021","06:36:14.787","2259.761",""
"06/26/2021","06:37:00.352","3638.589",""
"06/26/2021","06:37:33.996","2259.761",""
"06/26/2021","06:37:48.856","3638.589",""
"06/26/2021","06:38:05.511","80742.017",""
"06/26/2021","06:41:28.907","3638.589",""
"06/26/2021","06:41:42.947","80742.017",""
"06/26/2021","06:44:06.690","3638.589",""
"06/26/2021","06:44:20.649","80742.017",""
"06/26/2021","06:47:44.260","3638.589",""
